619-AHCR : Windows 10 Pro (64bit) English
"580-AFNU : Backlit Keyboard, English"
555-BCRM : Killer 1535 2x2 802.11ac Wi-Fi  Wireless + Bluetooth 4.2
490-BDIB : Intel(R) Iris(TM) Graphics 640
451-BBXF : 60WHr Integrated Battery
450-ABEN : 45 Watt AC Adapter
400-AONJ : 256GB M.2 PCIe SSD
"391-BCUP : 13.3 inch QHD+ (3200 x 1800) I nfinityEdge touch display, Sil ver machined aluminum"
389-BLST : Intel(R) Core(TM) i7 Processor  Label
370-ACTL : 8GB LPDDR3 1866MHz
"338-BKSB : 7th Generation Intel(R) Core(T M) i7-7560U Processor (4M Cach e, up to 3.8 GHz)"
