,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
LUNCH,X,X,chicken sandwitches,,,steak sandwitches,
DINNER,X,Spaghetti,Mexican soup,fish & veg,???,fish again,shrimps
